City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Saint Anthony,US,91.29,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
203,Altea,ES,83.37,few clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
205,Jaca,ES,88.99,broken clouds,42.569,-0.5499,Hotel Real Jaca & Spa
206,Georgetown,MY,82.89,moderate rain,5.4112,100.3354,Cititel Penang
208,Namatanai,PG,78.42,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
210,Maraba,BR,89.78,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
211,Pochutla,MX,90.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
213,Zhanaozen,KZ,83.57,few clouds,43.3,52.8,K.korabay 28A
214,Hirara,JP,81.37,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
215,Santander Jimenez,MX,92.43,overcast clouds,24.2167,-98.4667,Papas inc
217,Paris,FR,81.0,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
218,Cabo San Lucas,MX,92.5,clear sky,22.8909,-109.9124,Vista Roof Restaurant
219,Sola,VU,80.17,broken clouds,-13.8833,167.55,Leumerus Bungalows
221,Anloga,GH,81.84,broken clouds,5.7947,0.8973,Pin Drop Hotel
226,Freeport,US,81.3,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
227,Labuhan,ID,79.27,broken clouds,-6.8844,112.2051,DoubleFAG
228,Jieshi,CN,78.84,moderate rain,22.8134,115.8257,Yuehai Hotel
231,Hobyo,SO,79.72,clear sky,5.3505,48.5268,Iftin hotel hobyo
233,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
238,Bethel,US,80.15,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
241,Andros Town,BS,83.88,scattered clouds,24.7,-77.7667,Hanks place
242,Matara,LK,79.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
243,Larnaca,CY,76.48,scattered clouds,34.9167,33.6292,Flamingo Beach Hotel
244,Albuquerque,US,88.5,clear sky,35.0845,-106.6511,DoubleTree by Hilton Hotel Albuquerque
250,Pontiac,US,79.32,broken clouds,42.6389,-83.2911,Embassy Suites by Hilton Auburn Hills
253,Hamilton,US,93.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
254,Cockburn Town,TC,80.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
258,Blois,FR,84.33,few clouds,47.5833,1.3333,Appart'City Blois - Appart Hôtel
